symbol,universe,sector_id,industry_id,rates,inflation,growth,liquidity,credit_stress,geopolitics,energy_supply,trade_controls,regulation,risk_appetite
CME,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MCK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KKR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CEG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ICE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ADP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NOC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CVS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DUK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MCO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NKE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MRSH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PNC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
UPS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GLW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SNPS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SHW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DASH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
RCL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
STX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SNDK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
USB,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HOOD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FCX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MAR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AMT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WDC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ORLY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EMR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HWM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CRH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WMB,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MMM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TDG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EQIX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CMI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CDNS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ECL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MNST,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ABNB,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
APO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
REGN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CTAS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ELV,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ITW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DELL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MDLZ,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FDX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AON,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
JCI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HLT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SLB,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PWR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CSX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
COR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WBD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MSI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KMI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
RSG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NSC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TFC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PCAR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TEL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AJG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AEP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LHX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SPG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TRV,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AZO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ROST,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
APD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FTNT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EOG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AFL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BDX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DLR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PSX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NXPI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SRE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
O,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CVNA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NDAQ,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BKR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ZTS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VLO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ADSK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MPWR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VST,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
IDXX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MPC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ALL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MET,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AME,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
D,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GWW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CMG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CAH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
COIN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CBRE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CARR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FAST,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
URI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CTVA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PYPL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
OKE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PSA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AMP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TGT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ROK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WDAY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FANG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DDOG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EXC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
XEL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MSCI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
OXY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DAL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DHI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ETR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
YUM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TRGP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CCL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EBAY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PEG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TTWO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NUE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AIG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FIX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MCHP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SYY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VMC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HSY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CTSH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ROP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WAB,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MLM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CPRT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PRU,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GRMN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
IQV,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ED,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AXON,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CCI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TER,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
RMD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HIG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
A,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KDP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KEYS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PAYX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VTR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
STT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
XYZ,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WEC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GEHC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ODFL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LVS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ACGL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
